member_id|first_name|last_name|email|address_line|city|postal_code|state|country|phone_number|birth_date|membership_length|join_date|donor_type|company_name|donation_amount|processing_fee_amount|preferred_language|payment_type|program_ind|program_funded|donation_date
144|Kelsey|Laing|||||||419-976-6287|1981-10-04|7.0|2015-09-06|Individual||4205.6759446535425|84.11351889307085|en-CA|Online|0||2016-02-24
183|Blythe|Orrah||||||||||2017-06-08|Individual||7174.205757951791|143.48411515903584|en-CA|Online|0||2017-05-22
533|Marita|Murden|||||||316-673-3479|1984-04-15|1.0|2015-12-04|Individual||4080.29024059389|81.6058048118778|fr-CA|Online|1|Trans Youth Mentorship|2017-07-22
190|Linc|Thorneywork|||||||651-681-2636|1989-10-06|4.0|2016-04-19|Individual||7994.90661271941|159.8981322543882|en-CA|In Person|1|Housing|2015-03-08
706|Jeffry|Gress|||||||816-103-4026|1999-02-06|2.0|2015-04-07|Individual||721.7712159411915|14.43542431882383|en-CA|Online|0||2017-04-18
342|Dianne|Olner||||||||||2015-12-03|Individual||4751.461646049202|95.02923292098403|fr-CA|In Person|0||2016-02-10
443|Oralla|Jowers|||||||757-167-0257|1988-02-20|3.0|2016-03-26|Individual||4578.453422886808|91.56906845773617|en-CA|In Person|0||2015-05-23
45|Maryanna|Bilverstone|||||||716-416-4559|1998-01-13|1.0|2016-12-10|Individual||2065.4522252122188|41.309044504244376|fr-CA|Online|1|Housing|2017-07-16
584|Alix|Orgill|||||||212-534-8242|1981-07-12|6.0|2015-10-11|Individual||7803.5875784183545|156.0717515683671|en-CA|In Person|0||2015-09-28
971|Pearla|Penelli|||||||772-368-2267|1984-12-25|6.0|2015-07-01|Individual||312.90755124421787|6.2581510248843575|en-CA|In Person|1|Family Resource Centre|2016-03-21
91|Cly|Clausen|||||||626-828-3965|1983-11-22|6.0|2016-11-03|Individual||9734.976738899315|194.69953477798632|fr-CA|Online|0||2016-02-21
934|Barty|Dulake|||||||864-994-1881|1988-11-14|9.0|2016-10-17|Individual||6538.968544293681|130.77937088587362|fr-CA|Online|0||2016-03-04
834|Noam|Tesh|||||||917-879-6780|1991-11-30|7.0|2017-11-23|Individual||7126.915274684275|142.5383054936855|fr-CA|In Person|0||2015-06-02
75|Ambrose|Motion|||||||617-550-0662|1981-02-06|4.0|2016-02-07|Individual||2696.934636730892|53.938692734617845|fr-CA|In Person|0||2017-08-01
326|Faber|Muzzi|||||||360-284-1520|1985-03-18|8.0|2016-06-03|Individual||4375.93671827359|87.51873436547179|fr-CA|In Person|0||2015-10-15
179|Munroe|Raccio|||||||832-278-2592|1989-06-08|1.0|2015-10-13|Individual||7898.190324648381|157.96380649296762|fr-CA|Online|0||2017-02-01
979|Madonna|Ivanshintsev|||||||406-228-1568|1993-08-27|6.0|2015-08-05|Individual||7468.067307230674|149.36134614461346|en-CA|In Person|1|Housing|2016-01-09
79|Lincoln|Bartozzi|||||||907-882-6907|1996-08-19|9.0|2017-08-03|Individual||9192.277793767556|183.84555587535112|en-CA|Online|1|Sunday Drop In|2015-12-09
841|Jard|Cotte|||||||614-990-2745|1983-06-08|6.0|2017-05-02|Individual||1409.3528980989418|28.187057961978837|fr-CA|Online|1|Trans Youth Mentorship|2017-08-23
71|Zondra|Garner|||||||915-121-1232|1977-08-25|9.0|2017-02-17|Individual||8810.944214274523|176.21888428549047|fr-CA|Online|0||2016-05-06
915|Violante|Shapiro|||||||330-916-1116|1985-09-08|9.0|2016-12-07|Individual||9054.626245243828|181.09252490487657|en-CA|In Person|1|Housing|2015-02-28
461|Danice|MacPeake||||||||||2015-05-06|Individual||6422.661382643712|128.45322765287426|fr-CA|Online|0||2015-10-17
326|Konrad|Payfoot|||||||727-779-3480|1998-10-10|7.0|2017-12-10|Individual||7275.832482072174|145.51664964144348|fr-CA|In Person|0||2016-07-15
489|Rancell|Givens|||||||202-255-8613|1994-01-18|2.0|2015-01-24|Individual||6002.531343940922|120.05062687881843|en-CA|In Person|0||2015-06-04
88|Pippa|Ching|||||||214-569-0764|1985-10-25|2.0|2016-01-12|Individual||223.05727821534433|4.461145564306887|fr-CA|Online|0||2015-09-20
840|Collie|Joddens|||||||484-113-4881|1997-08-20|8.0|2017-09-27|Individual||3875.004302682004|77.50008605364008|fr-CA|Online|0||2016-04-06
476|Kendricks|Hugenin|||||||319-906-1085|1999-10-10|4.0|2015-11-27|Individual||9483.884451808886|189.67768903617772|en-CA|In Person|0||2015-09-05
241|Caria|Garthshore|||||||682-762-4046|1998-09-20|9.0|2017-12-14|Individual||8991.5254885602|179.83050977120402|fr-CA|In Person|1|New Comer Settlement Services|2016-07-20
479|Garvey|Howsin|||||||509-703-9128|1996-10-11|4.0|2017-06-15|Individual||4069.2803085267146|81.38560617053429|fr-CA|In Person|0||2017-02-06
424|Raddy|Rime|||||||678-369-3490|1988-12-09|1.0|2016-05-25|Individual||6541.248250153901|130.824965003078|fr-CA|In Person|1|Legal Clinic|2017-01-10
107|Fidel|Carnduff|||||||225-492-1087|1984-11-11|10.0|2017-02-18|Individual||8793.703291477024|175.87406582954048|en-CA|In Person|0||2017-10-27
937|Kaitlin|Ryder|||||||209-680-4962|1993-08-17|7.0|2016-08-22|Individual||2230.589237915174|44.611784758303486|fr-CA|Online|1|Trans Youth Mentorship|2017-02-17
753|Klarrisa|Masding|||||||405-404-2570|1998-04-02|6.0|2016-11-16|Individual||1334.9835909812855|26.69967181962571|fr-CA|Online|1|New Comer Settlement Services|2017-11-26
192|Pryce|Tolan|||||||248-775-4148|1988-09-21|9.0|2015-11-03|Individual||8905.280156785693|178.10560313571386|fr-CA|In Person|1|Sunday Drop In|2016-02-16
25|Codi|Cattow|||||||662-741-1238|1989-07-30|7.0|2017-02-26|Individual||6217.271504675211|124.34543009350422|fr-CA|In Person|0||2016-08-15
458|Morlee|Lethbrig|||||||239-196-0270|1978-12-05|9.0|2017-05-07|Individual||7479.891673822702|149.59783347645404|fr-CA|In Person|0||2017-12-25
91|Freeman|Yarrall|||||||212-536-5146|1985-01-28|9.0|2015-11-11|Individual||3907.8894067506058|78.15778813501211|en-CA|In Person|1|New Comer Settlement Services|2016-01-22
601|Matthaeus|Double|||||||317-227-8974|1999-05-21|5.0|2017-12-16|Individual||2686.7037913752856|53.73407582750571|en-CA|Online|0||2017-03-25
464|Sloane|Borne|||||||772-627-2529|1994-11-16|9.0|2017-07-24|Individual||4439.575988170843|88.79151976341686|fr-CA|In Person|1|Housing|2017-11-27
699|Auberta|Uebel|||||||727-317-3146|1990-08-25|7.0|2015-01-17|Individual||1258.387988857573|25.16775977715146|en-CA|Online|0||2015-02-08
943|Jacki|Swanston|||||||971-789-2763|1991-03-28|9.0|2017-12-11|Individual||495.06338389076154|9.90126767781523|fr-CA|In Person|0||2016-11-05
393|Evelina|Judgkins|||||||859-325-9175|1979-02-08|6.0|2017-07-28|Individual||9918.531555781034|198.37063111562068|fr-CA|Online|1|Family Resource Centre|2016-07-10
71|Zondra|Garner|||||||915-121-1232|1977-08-25|9.0|2017-02-17|Individual||6581.3103631946915|131.62620726389383|fr-CA|Online|0||2016-08-25
734|Birdie|Eberst|||||||215-264-1720|1984-01-13|1.0|2015-05-17|Individual||6291.249357082202|125.82498714164403|en-CA|In Person|1|Family Resource Centre|2017-06-25
232|Karna|Isworth|||||||805-889-5188|1977-06-29|3.0|2017-04-16|Individual||4677.085870884572|93.54171741769143|en-CA|Online|1|Sunday Drop In|2016-11-24
922|Viv|Cerith|||||||713-154-1950|1980-04-11|9.0|2015-12-05|Individual||3423.116827646318|68.46233655292636|fr-CA|In Person|1|Family Resource Centre|2015-07-18
83|Oby|Burgot|||||||256-732-8153|1977-11-08|10.0|2016-09-05|Individual||7859.417853656602|157.18835707313204|en-CA|In Person|1|Sunday Drop In|2016-05-09
416|Albert|Sparry|||||||770-264-2777|1992-03-27|8.0|2017-03-18|Individual||308.3605152643801|6.167210305287603|fr-CA|Online|1|Sunday Drop In|2016-06-13
244|Aviva|Scrine|||||||859-861-1786|1998-04-28|5.0|2016-09-24|Individual||6466.597746337208|129.33195492674417|en-CA|In Person|1|Sunday Drop In|2017-05-17
702|Darda|Marchington|||||||859-606-4109|1994-05-17|1.0|2015-02-15|Individual||6643.6989147233535|132.87397829446707|fr-CA|Online|0||2017-02-11
947|Carmon|Tidey|||||||915-604-6453|1990-02-15|2.0|2015-07-04|Individual||3225.3735305293376|64.50747061058675|en-CA|In Person|0||2015-08-14
456|Valeria|Rigler|||||||646-497-7719|1979-10-25|5.0|2015-04-09|Individual||6003.723136313197|120.07446272626395|en-CA|Online|0||2015-04-11
939|Lela|Brotherhead|||||||712-240-9472|1984-04-23|5.0|2015-08-17|Individual||562.6375724937451|11.252751449874902|en-CA|Online|0||2015-04-03
216|Atlante|Jeanneau|||||||937-850-3345|1989-02-11|1.0|2015-05-22|Individual||256.3658351443099|5.127316702886199|en-CA|In Person|0||2017-04-12
966|Ephrayim|Rylatt|||||||719-589-7887|1998-10-01|8.0|2016-12-14|Individual||8238.30641773875|164.766128354775|fr-CA|Online|0||2016-05-16
850|Briano|Siggin|||||||707-149-9280|1998-06-16|3.0|2016-07-01|Individual||9651.520457480268|193.03040914960536|en-CA|Online|0||2015-10-04
329|Valma|Chappelle||||||||||2017-05-21|Individual||218.83858725786004|4.376771745157201|en-CA|In Person|1|Meal Trans|2015-12-16
768|Nert|Darnborough|||||||775-593-6957|1981-09-22|1.0|2017-09-09|Individual||5106.764043272025|102.1352808654405|en-CA|Online|1|Sunday Drop In|2015-06-10
629|Delmore|Bartoletti|||||||808-278-8301|1981-11-30|3.0|2017-06-05|Individual||5989.4517140875105|119.78903428175022|en-CA|In Person|0||2015-03-18
916|Flossie|St Quenin|||||||405-435-3049|1981-07-10|1.0|2015-05-02|Individual||3133.3306156376852|62.666612312753706|en-CA|In Person|1|Sunday Drop In|2015-03-22
886|Darby|Fuente|||||||209-899-7477|1995-03-27|5.0|2016-12-15|Individual||7100.52848909285|142.010569781857|fr-CA|Online|1|Trans Youth Mentorship|2015-12-05
820|Mindy|Osichev|||||||202-556-3114|1987-09-25|2.0|2016-04-12|Individual||1461.5992183252201|29.231984366504403|fr-CA|Online|1|Sunday Drop In|2016-10-17
458|Morlee|Lethbrig|||||||239-196-0270|1978-12-05|9.0|2017-05-07|Individual||5524.239081783103|110.48478163566206|en-CA|Online|1|Housing|2016-04-28
78|Winni|Dummer|||||||573-223-8140|1987-09-03|2.0|2016-05-14|Individual||4243.104051596531|84.86208103193061|fr-CA|Online|0||2015-01-09
715|Lise|Osbaldstone||||||||||2017-11-10|Individual||1512.0098195278335|30.240196390556672|fr-CA|Online|0||2015-11-10
810|Erinna|Sheeres|||||||202-182-0679|1999-07-22|4.0|2016-10-18|Individual||3434.399186598242|68.68798373196485|en-CA|In Person|1|Meal Trans|2015-05-02
937|Felicio|Clatworthy|||||||907-885-6671|1995-02-20|2.0|2015-04-05|Individual||7353.575951759733|147.07151903519465|fr-CA|Online|0||2015-08-27
24|Harlan|Gobbet|||||||916-426-3227|1993-01-04|2.0|2016-09-26|Individual||4199.506705073555|83.9901341014711|en-CA|In Person|0||2017-09-11
661|Dicky|Luno|||||||817-343-6007|1989-01-07|9.0|2017-04-02|Individual||5356.064070977153|107.12128141954307|en-CA|In Person|1|Family Resource Centre|2017-02-09
591|Margarethe|Ferronel|||||||404-427-9629|1989-07-15|5.0|2017-07-21|Individual||929.8293602289309|18.59658720457862|en-CA|In Person|0||2017-11-22
601|Dina|Selcraig|||||||682-767-1741|1997-01-05|4.0|2016-07-01|Individual||1365.9814837721333|27.319629675442666|en-CA|In Person|0||2015-05-13
959|Kath|Embleton|||||||940-539-5471|1978-07-13|1.0|2016-01-18|Individual||5037.083075073856|100.74166150147713|en-CA|Online|0||2015-01-16
867|Sawyere|Tanswell||||||||||2017-04-11|Individual||4680.902395637258|93.61804791274517|en-CA|In Person|1|Meal Trans|2016-07-06
590|Barrie|Brewett|||||||202-976-1768|1995-04-19|6.0|2016-01-17|Individual||6806.683439315621|136.13366878631243|fr-CA|In Person|0||2015-03-26
724|Galven|Eves|||||||616-461-0567|1979-04-18|2.0|2015-05-11|Individual||4145.383452813477|82.90766905626954|en-CA|Online|1|New Comer Settlement Services|2017-03-24
161|Dorothea|Cominoli|||||||214-926-1423|1993-08-18|5.0|2015-09-27|Individual||4351.97548671102|87.03950973422039|en-CA|In Person|0||2015-06-14
952|Beverlee|Woodings|||||||202-240-3183|1991-03-11|4.0|2016-01-02|Individual||2831.2969178508633|56.62593835701727|fr-CA|Online|0||2015-04-14
706|Viviana|Scalia|||||||816-831-2363|1988-09-26|8.0|2017-04-26|Individual||167.39802912494693|3.3479605824989385|fr-CA|In Person|1|Family Resource Centre|2017-08-21
191|Dante|Newlove|||||||248-405-5961|1976-11-26|1.0|2017-12-17|Individual||9237.731678386397|184.75463356772795|fr-CA|In Person|0||2017-12-05
937|Felicio|Clatworthy|||||||907-885-6671|1995-02-20|2.0|2015-04-05|Individual||9156.792191774377|183.13584383548755|en-CA|In Person|1|Family Resource Centre|2016-06-19
342|Dianne|Olner||||||||||2015-12-03|Individual||5122.339783786093|102.44679567572186|fr-CA|In Person|0||2017-12-25
700|Elisha|Plaice|||||||480-572-2983|1978-04-07|3.0|2016-09-04|Individual||890.857011565998|17.81714023131996|en-CA|Online|1|Family Resource Centre|2015-08-19
776|Margalit|Feben|||||||571-288-5083|1989-04-15|3.0|2016-12-10|Individual||661.4345234236073|13.228690468472147|fr-CA|In Person|0||2016-08-25
708|Doy|Ladell|||||||863-177-4332|1977-11-03|8.0|2017-01-01|Individual||9998.278035529005|199.96556071058012|en-CA|Online|1|New Comer Settlement Services|2017-03-07
447|Meggy|Coldwell|||||||512-833-6635|1983-12-10|3.0|2017-06-17|Individual||8660.427581681199|173.20855163362398|fr-CA|Online|1|Meal Trans|2017-10-26
620|Arlina|Byfford||||||||||2016-05-25|Individual||8493.100511218801|169.86201022437604|en-CA|In Person|0||2017-06-14
733|Marietta|O'Hallagan|||||||515-181-0618|1984-03-10|3.0|2016-01-01|Individual||6753.048399368243|135.06096798736485|en-CA|Online|0||2015-07-13
451|Abbe|Parkyn|||||||951-353-7079|1977-04-26|8.0|2015-10-21|Individual||945.0207936620176|18.90041587324035|fr-CA|In Person|1|New Comer Settlement Services|2015-01-25
604|Chester|Gosling|||||||765-253-8279|1990-07-07|2.0|2017-03-15|Individual||3703.3387374904755|74.06677474980951|fr-CA|In Person|0||2017-02-08
947|Carmon|Tidey|||||||915-604-6453|1990-02-15|2.0|2015-07-04|Individual||2437.226451772217|48.74452903544434|en-CA|In Person|1|Trans Youth Mentorship|2017-12-27
782|Jenni|Perkinson||||||||||2015-06-11|Individual||9568.648010605653|191.37296021211307|fr-CA|In Person|0||2015-12-02
31|Jammal|See|||||||801-508-2524|1994-12-06|3.0|2015-08-13|Individual||8880.09145056612|177.60182901132242|en-CA|Online|1|Trans Youth Mentorship|2015-03-01
200|Britt|Hamer|||||||713-604-2729|1979-11-25|9.0|2016-01-20|Individual||5888.023631572086|117.76047263144171|en-CA|Online|0||2017-05-02
24|Leeland|Lock|||||||702-250-4682|1996-03-31|7.0|2016-01-01|Individual||3326.332771950733|66.52665543901466|en-CA|In Person|0||2017-02-16
939|Lela|Brotherhead|||||||712-240-9472|1984-04-23|5.0|2015-08-17|Individual||4782.834722364527|95.65669444729053|fr-CA|In Person|0||2016-09-18
451|Abbe|Parkyn|||||||951-353-7079|1977-04-26|8.0|2015-10-21|Individual||1764.928825901376|35.298576518027524|en-CA|Online|0||2016-07-25
657|Ciel|Ingerith|||||||915-826-4672|1978-12-01|6.0|2015-11-06|Individual||7306.704346730136|146.13408693460272|fr-CA|In Person|0||2017-01-28
318|Farrand|Loughlan|||||||740-107-0876|1980-08-19|3.0|2015-05-23|Individual||9630.15787493624|192.6031574987248|en-CA|In Person|0||2016-03-22
724|Galven|Eves|||||||616-461-0567|1979-04-18|2.0|2015-05-11|Individual||2368.9097968780065|47.37819593756013|en-CA|Online|1|Meal Trans|2015-09-10
406|Shea|Benford||||||||||2016-11-05|Individual||8185.805955734412|163.71611911468824|en-CA|In Person|0||2017-11-27
494|Lacee|Keiling|||||||561-281-5490|1980-09-02|1.0|2015-07-24|Individual||4550.4856352323495|91.00971270464699|en-CA|Online|1|Legal Clinic|2016-12-26
559|Reba|Girt|||||||619-773-9304|1983-09-01|3.0|2015-10-19|Individual||313.0513448975343|6.2610268979506865|fr-CA|In Person|1|New Comer Settlement Services|2015-11-04
430|Jack|Breache|||||||832-578-9341|1977-04-30|4.0|2016-10-25|Individual||196.39460537823447|3.9278921075646895|fr-CA|Online|1|Family Resource Centre|2017-01-26
591|Margarethe|Ferronel|||||||404-427-9629|1989-07-15|5.0|2017-07-21|Individual||7786.3224204714625|155.72644840942925|fr-CA|Online|0||2016-07-08
513|Byram|Huxley|||||||319-118-1133|1992-07-12|1.0|2016-06-11|Individual||716.7243362806221|14.334486725612441|fr-CA|Online|0||2016-12-26
140|Lilah|Heinish|||||||317-187-6009|1985-01-22|6.0|2015-08-27|Individual||9219.68054775266|184.3936109550532|fr-CA|Online|1|Family Resource Centre|2015-04-10
901|Gilles|McDowall|||||||260-750-3515|1993-07-01|3.0|2015-02-27|Individual||4534.531233183033|90.69062466366066|fr-CA|In Person|1|Family Resource Centre|2015-04-20
825|Bob|McMeekan|||||||818-343-1599|1981-03-12|5.0|2016-12-04|Individual||6346.1201127961585|126.92240225592317|en-CA|In Person|1|Legal Clinic|2016-04-28
823|Thorny|Neville|||||||434-839-1926|1980-09-04|3.0|2017-01-23|Individual||3405.1978198574234|68.10395639714847|fr-CA|Online|0||2015-02-04
464|Sloane|Borne|||||||772-627-2529|1994-11-16|9.0|2017-07-24|Individual||3779.6513953099156|75.59302790619832|en-CA|In Person|1|Family Resource Centre|2015-09-23
266|Chance|Orringe|||||||309-351-0442|1992-12-03|3.0|2016-08-05|Individual||6625.83446261143|132.51668925222862|en-CA|Online|0||2017-05-09
882|Carlene|Summerbell|||||||718-905-8536|1986-01-31|1.0|2016-09-20|Individual||2738.619673326172|54.77239346652344|en-CA|In Person|0||2015-12-10
997|Shurlock|Morat|||||||801-113-0296|1978-09-29|10.0|2015-03-13|Individual||3044.8402327973813|60.896804655947626|fr-CA|In Person|0||2016-09-11
453|Janek|Frankish|||||||831-159-2102|1977-05-21|3.0|2016-08-18|Individual||2382.8818429486546|47.65763685897309|fr-CA|In Person|1|Trans Youth Mentorship|2016-08-20
490|Nancee|Febvre|||||||314-259-0912|1981-01-19|7.0|2015-05-02|Individual||3013.818376219409|60.27636752438818|en-CA|Online|0||2016-06-23
99|Blakelee|Iacobassi|||||||503-121-8046|1987-02-17|8.0|2017-02-03|Individual||750.2020739486251|15.004041478972502|fr-CA|In Person|1|Meal Trans|2016-11-13
214|Shalna|Whiteford|||||||508-273-1954|1993-06-02|8.0|2015-01-21|Individual||6130.974569763249|122.61949139526497|en-CA|Online|1|New Comer Settlement Services|2015-05-28
759|Currie|Giovannacci|||||||202-535-5999|1991-07-27|7.0|2016-03-22|Individual||1864.7514072951808|37.295028145903615|en-CA|In Person|0||2016-11-26
959|Kath|Embleton|||||||940-539-5471|1978-07-13|1.0|2016-01-18|Individual||5498.84221536059|109.97684430721179|en-CA|Online|1|Housing|2015-11-16
28|Hadley|I'anson|||||||626-594-8488|1981-06-19|4.0|2017-06-28|Individual||2654.8286168284667|53.09657233656934|en-CA|In Person|0||2016-06-09
667|Mamie|Postgate|||||||757-739-1901|1997-04-08|1.0|2015-05-19|Individual||6684.269947626657|133.68539895253315|en-CA|In Person|0||2017-11-26
733|Marietta|O'Hallagan|||||||515-181-0618|1984-03-10|3.0|2016-01-01|Individual||1417.7827445246162|28.355654890492325|fr-CA|Online|1|Trans Youth Mentorship|2016-09-23
655|Bernard|Chartre|||||||608-502-6042|1997-10-08|9.0|2016-02-02|Individual||2976.0609315269503|59.52121863053901|fr-CA|In Person|0||2016-01-20
345|Winnie|Bahia|||||||212-833-6039|1985-06-05|2.0|2017-01-27|Individual||1045.3960800822222|20.907921601644443|en-CA|Online|0||2017-11-06
603|Bernita|Autie|||||||571-914-9620|1998-06-20|3.0|2015-09-26|Individual||868.086403070478|17.36172806140956|en-CA|Online|0||2015-12-23
580|Debra|Pace|||||||210-576-7423|1985-07-24|3.0|2016-09-12|Individual||7637.526079195511|152.75052158391023|fr-CA|In Person|0||2017-10-04
91|Carlynn|Crownshaw|||||||304-193-2149|1989-01-15|9.0|2015-02-16|Individual||3045.7893915074283|60.91578783014857|fr-CA|Online|0||2017-01-15
29|Iolande|Speere|||||||202-164-5108|1991-01-30|2.0|2016-05-11|Individual||7436.314581236908|148.72629162473817|en-CA|Online|1|Housing|2017-11-04
7|Bram|Emanuele|||||||847-458-0397|1979-04-12|7.0|2016-03-24|Individual||6929.432611607449|138.58865223214897|en-CA|In Person|1|Trans Youth Mentorship|2016-12-12
616|Constantin|Lewisham|||||||704-291-2292|1984-07-07|1.0|2017-06-14|Individual||831.0045395835213|16.620090791670425|fr-CA|In Person|1|Sunday Drop In|2015-04-17
812|Sullivan|Lorens|||||||602-122-7774|1987-11-17|10.0|2017-01-05|Individual||1358.218089457319|27.16436178914638|en-CA|Online|1|Legal Clinic|2015-06-17
860|Zechariah|Briar|||||||916-608-7714|1994-11-12|9.0|2017-01-25|Individual||8188.965201093866|163.77930402187732|en-CA|In Person|1|Meal Trans|2015-11-10
54|Wiley|Spruce|||||||915-130-5142|1995-10-11|10.0|2016-01-08|Individual||7628.767938787517|152.57535877575035|fr-CA|Online|1|Family Resource Centre|2016-02-02
251|Obadiah|Gordge|||||||801-125-3872|1979-03-22|9.0|2016-02-18|Individual||9914.083947234407|198.28167894468814|en-CA|Online|1|Meal Trans|2015-05-14
