,address_line,birth_date,city,country,email,first_name,full_address,join_date,last_name,latitude,longitude,member_id,membership_length,phone_number,postal_code,state
21,381 EGLINTON AVE E,1987-03-06,TORONTO,Canada,madleml@wsj.com,Myrtle,"381 EGLINTON AVE E , TORONTO , ON",2017-07-20,Adlem,43.7093152142857,-79.385092,228,3.0,540-712-9783,M4P1M5,ON
22,2 RANDOLPH ROAD,1977-03-01,TORONTO,Canada,avequem@google.co.jp,Alfie,"2 RANDOLPH ROAD , TORONTO , ON",2015-09-23,Veque,43.7011808,-79.3645337,521,9.0,410-435-9457,M4G3R7,ON
23,11 MOOREHILL DR,1996-09-29,TORONTO,Canada,amumbrayn@wisc.edu,Abigael,"11 MOOREHILL DR , TORONTO , ON",2016-09-16,Mumbray,43.6921276720713,-79.3712275832106,61,2.0,602-971-9283,M4G1A3,ON
24,47 BLACKTHORN AVE,1992-12-14,NORTH YORK,Canada,starro@craigslist.org,Sharai,"47 BLACKTHORN AVE , NORTH YORK , ON",2015-04-21,Tarr,,,434,1.0,617-360-3146,M4N3H5,ON
25,200 WELLESLEY ST E  APT 316,1986-03-14,TORONTO,Canada,hgoldthorpep@java.com,Hamil,"200 WELLESLEY ST E  APT 316 , TORONTO , ON",2017-06-11,Goldthorpe,,,184,6.0,213-629-6737,M4X1G3,ON
26,118 BALLIOL STREET APT UPH 3,1992-08-23,TORONTO,Canada,jhodintonq@addthis.com,Jocelyn,"118 BALLIOL STREET APT UPH 3 , TORONTO , ON",2017-02-19,Hodinton,,,862,6.0,407-606-6955,M4S0A9,ON
27,2-38 EARL ST,1998-01-03,TORONTO,Canada,branklinr@thetimes.co.uk,Bud,"2-38 EARL ST , TORONTO , ON",2015-09-18,Ranklin,43.668356,-79.377572,11,2.0,559-807-3145,M4Y1M3,ON
28,209-4GRANDSTAND PLACE,1977-11-16,TORONTO,Canada,bcarniers@samsung.com,Belva,"209-4GRANDSTAND PLACE , TORONTO , ON",2016-10-12,Carnier,,,35,8.0,205-473-0969,M4H1E3,ON
29,209-4 GRANDSTAND PL,1989-01-03,TORONTO,Canada,fkeffordt@weather.com,Fair,"209-4 GRANDSTAND PL , TORONTO , ON",2016-07-27,Kefford,43.7036252,-79.3459853,444,8.0,510-481-4943,M4H1E3,ON
30,63 RUSHBOOKE AVE,1999-04-22,TORONTO,Canada,rpellissieru@altervista.org,Rosanne,"63 RUSHBOOKE AVE , TORONTO , ON",2015-07-16,Pellissier,,,349,4.0,304-978-2786,M4M3A8,ON
31,122 HOLLYWOOD CRES,1984-10-15,TORONTO,Canada,pcavellv@linkedin.com,Paton,"122 HOLLYWOOD CRES , TORONTO , ON",2015-01-02,Cavell,43.6796429,-79.3144966,444,9.0,507-882-8451,M4L2K6,ON
32,9 ELMONT DR,1995-05-09,EAST YORK,Canada,atoffaniniw@amazon.co.uk,Ahmad,"9 ELMONT DR , EAST YORK , ON",2016-01-18,Toffanini,43.6994714860659,-79.3029373448709,718,2.0,504-197-2335,M4B2L9,ON
33,1131 O'CONNOR DR,1997-10-30,EAST YORK,Canada,idagwellx@opensource.org,Ilyse,"1131 O'CONNOR DR , EAST YORK , ON",2015-04-24,Dagwell,43.7114167,-79.30802425,588,9.0,304-905-5489,M4B2T5,ON
34,65 WINNIFRED AVE,1988-02-11,TORONTO,Canada,vmarchmenty@boston.com,Valle,"65 WINNIFRED AVE , TORONTO , ON",2016-11-19,Marchment,,,849,3.0,816-676-4789,M4M2X2,ON
35,214-71 THORNCLIFFE PARK DR,1978-07-04,EAST YORK,Canada,cduesburyz@cmu.edu,Christina,"214-71 THORNCLIFFE PARK DR , EAST YORK , ON",2016-05-11,Duesbury,43.7053973,-79.3426076,919,8.0,801-195-4740,M4H1L3,ON
36,242 MUNRO ST,1996-09-05,TORONTO,Canada,lblackater10@bravesites.com,Louie,"242 MUNRO ST , TORONTO , ON",2017-06-23,Blackater,43.6648451,-79.354367,153,2.0,773-502-9340,M4M2C2,ON
37,200 BALLIOL STREET 503,1980-09-07,TORONTO,Canada,hstoven11@cyberchimps.com,Henry,"200 BALLIOL STREET 503 , TORONTO , ON",2016-07-08,Stoven,43.6992073,-79.3900838361617,753,4.0,415-500-9319,M4S1C6,ON
38,3709-45 CHARLES ST E,1998-02-01,TORONTO,Canada,jbouzek12@amazonaws.com,Jermain,"3709-45 CHARLES ST E , TORONTO , ON",2016-11-02,Bouzek,,,668,4.0,310-380-4755,M4Y0B8,ON
39,44 THORNECLIFF PARK DR APT 215,1978-12-01,EAST YORK,Canada,cingerith13@creativecommons.org,Ciel,"44 THORNECLIFF PARK DR APT 215 , EAST YORK , ON",2015-11-06,Ingerith,,,657,6.0,915-826-4672,M4H1K2,ON
40,1632 BAYVIEW AVE THIRD FLOOR,1994-11-12,TORONTO,Canada,bmethingam14@japanpost.jp,Baillie,"1632 BAYVIEW AVE THIRD FLOOR , TORONTO , ON",2015-02-12,Methingam,,,342,1.0,626-910-1355,M4G3B7,ON
41,251 COLERIDGE AVE,1978-09-19,EAST YORK,Canada,cespy15@ning.com,Colman,"251 COLERIDGE AVE , EAST YORK , ON",2016-04-15,Espy,43.6936257,-79.3149653,707,1.0,832-517-3067,M4C4J2,ON
42,68 LAWRENCE AVE E,1995-11-20,TORONTO,Canada,tbenazet16@sfgate.com,Toma,"68 LAWRENCE AVE E , TORONTO , ON",2015-07-24,Benazet,43.7260712142857,-79.3983159857143,75,3.0,832-310-1449,M4N1S4,ON
43,123 EGLINTON AVE EAST PH 3,1993-08-02,TORONTO,Canada,kdenny17@youku.com,Kenneth,"123 EGLINTON AVE EAST PH 3 , TORONTO , ON",2015-02-19,Denny,,,876,10.0,540-428-9157,M4P1J2,ON
44,1501-99 HOWARD ST,1991-06-09,TORONTO,Canada,mbernardt18@oracle.com,Meagan,"1501-99 HOWARD ST , TORONTO , ON",2017-04-11,Bernardt,,,476,1.0,505-749-6279,M4X1K1,ON
45,55 MAITLAND ST UNIT 911,1995-08-21,TORONTO,Canada,bbimson19@shinystat.com,Berny,"55 MAITLAND ST UNIT 911 , TORONTO , ON",2017-02-14,Bimson,,,40,9.0,916-703-2503,M4Y1C9,ON
46,382 SHERBOURNE ST,1994-09-16,TORONTO,Canada,eschimonek1a@wikispaces.com,Ericka,"382 SHERBOURNE ST , TORONTO , ON",2017-07-23,Schimonek,43.6633746896552,-79.3732585862069,73,4.0,254-339-0822,M4X1K2,ON
47,817-1720 EGLINTON AVE E,1978-07-11,TORONTO,Canada,mharcase1b@tripod.com,Merrick,"817-1720 EGLINTON AVE E , TORONTO , ON",2015-11-01,Harcase,,,732,7.0,510-271-2808,M4A2X8,ON
48,12 LARKSONG CRT,1978-12-06,NORTH YORK,Canada,mwroth1c@microsoft.com,Mitch,"12 LARKSONG CRT , NORTH YORK , ON",2015-05-22,Wroth,43.728152798864,-79.3152197074117,905,6.0,202-189-5077,M4A2T6,ON
49,2129A GERRARD ST E,1996-04-09,TORONTO,Canada,seland1d@photobucket.com,Starlin,"2129A GERRARD ST E , TORONTO , ON",2016-05-27,Eland,43.6828860222222,-79.3044037666667,528,2.0,505-263-1343,M4E2C1,ON
50,5 BIGGIN CRT 411,,TORONTO,,cjolliff1e@wikia.com,Craig,"5 BIGGIN CRT 411 , TORONTO , ON",2016-11-24,Jolliff,43.7279032,-79.3068067118655,887,,,M4A1M2,ON
51,85 THORNCLIFFE PARK DR #1615,1987-04-13,EAST YORK,Canada,hjesteco1f@topsy.com,Hilliary,"85 THORNCLIFFE PARK DR #1615 , EAST YORK , ON",2015-01-27,Jesteco,43.7071721,-79.3412633756941,796,6.0,512-968-4602,M4H1L6,ON
52,55 ST HUBERT AVE,1991-04-06,TORONTO,Canada,mbarsham1g@amazonaws.com,Milka,"55 ST HUBERT AVE , TORONTO , ON",2016-09-26,Barsham,43.69268226875,-79.338927675,931,6.0,251-288-8882,M4J3Z2,ON
53,55 ST HUBERT AVE,1998-10-01,TORONTO,Canada,erylatt1h@walmart.com,Ephrayim,"55 ST HUBERT AVE , TORONTO , ON",2016-12-14,Rylatt,43.69268226875,-79.338927675,966,8.0,719-589-7887,M4J3Z2,ON
54,39 QUEEN VICTORIA ST,1981-02-06,TORONTO,Canada,amotion1i@youtu.be,Ambrose,"39 QUEEN VICTORIA ST , TORONTO , ON",2016-02-07,Motion,43.6771358,-79.3345436,75,4.0,617-550-0662,M4J1G1,ON
55,47 WANLESS AVE,1986-08-24,TORONTO,Canada,eokeeffe1j@purevolume.com,Elise,"47 WANLESS AVE , TORONTO , ON",2015-03-08,O'Keeffe,43.726739657017,-79.4008498775093,580,10.0,512-721-2909,M4N1V5,ON
56,82 GLENSIDE AVE,1992-12-08,TORONTO,Canada,clongina1k@geocities.jp,Christan,"82 GLENSIDE AVE , TORONTO , ON",2015-05-20,Longina,43.6741975000387,-79.3272272054632,569,8.0,706-269-4647,M4L2T5,ON
57,135 DONLANDS AVE,1979-08-05,TORONTO,Canada,meede1l@washington.edu,Muhammad,"135 DONLANDS AVE , TORONTO , ON",2015-03-13,Eede,43.68465592,-79.338856,143,1.0,559-784-5391,M4J3P3,ON
58,68 HILLSIDE DR 405,1987-02-01,TORONTO,Canada,cpalfreeman1m@hatena.ne.jp,Cate,"68 HILLSIDE DR 405 , TORONTO , ON",2015-08-28,Palfreeman,43.6900604,-79.3567028,353,3.0,501-200-6013,M4K2M4,ON
59,68 HILLSIDE DR 405,1985-07-29,TORONTO,Canada,nduckhouse1n@google.co.jp,Nehemiah,"68 HILLSIDE DR 405 , TORONTO , ON",2015-01-20,Duckhouse,43.6900604,-79.3567028,924,6.0,619-595-4397,M4K2M4,ON
60,779 O'CONNOR DR,1991-12-20,EAST YORK,Canada,lwolpert1o@naver.com,Lucius,"779 O'CONNOR DR , EAST YORK , ON",2015-12-08,Wolpert,43.7044057,-79.3134818,46,4.0,212-273-1092,M4B2S5,ON
61,6000-3080 YONGE ST,1982-01-20,TORONTO,Canada,mliddell1p@chron.com,Marylou,"6000-3080 YONGE ST , TORONTO , ON",2015-03-18,Liddell,,,637,8.0,213-988-7429,M4N3N1,ON
62,1-1565 BAYVIEW AVE,1983-02-18,TORONTO,Canada,tsandwith1q@constantcontact.com,Tania,"1-1565 BAYVIEW AVE , TORONTO , ON",2016-03-22,Sandwith,,,149,6.0,214-176-7571,M4G3B5,ON
63,715-95 THORNCLIFFE PARK DR,1988-10-27,EAST YORK,Canada,cchennells1r@earthlink.net,Cindra,"715-95 THORNCLIFFE PARK DR , EAST YORK , ON",2016-05-16,Chennells,,,333,5.0,408-480-2407,M4H1L7,ON
64,715-95 THORNCLIFFE PARK DR,,EAST YORK,,dbrain1s@moonfruit.com,Daveta,"715-95 THORNCLIFFE PARK DR , EAST YORK , ON",2016-04-09,Brain,,,120,,,M4H1L7,ON
65,1-989 MOUNT PLEASANT RD,1993-09-13,TORONTO,Canada,urabjohns1t@toplist.cz,Ursala,"1-989 MOUNT PLEASANT RD , TORONTO , ON",2017-03-21,Rabjohns,,,946,1.0,305-122-2100,M4P2L8,ON
66,2806-545 SHERBOURNE ST,1991-08-24,TORONTO,Canada,qcastilljo1u@tumblr.com,Quint,"2806-545 SHERBOURNE ST , TORONTO , ON",2017-05-17,Castilljo,,,303,3.0,910-175-3017,M4X1W5,ON
67,53 ACACIA ROAD,,TORONTO,,lbutlerbowdon1v@mac.com,Lyndsay,"53 ACACIA ROAD , TORONTO , ON",2017-04-06,Butler-Bowdon,43.701953,-79.390093,505,,,M4S2K6,ON
68,58 BELCOURT RD,1997-02-03,TORONTO,Canada,lturfes1w@bigcartel.com,Lorain,"58 BELCOURT RD , TORONTO , ON",2015-04-06,Turfes,43.7055666,-79.3814174,466,9.0,559-429-1436,M4S2T9,ON
69,58 BELCOURT RD,1998-01-13,TORONTO,Canada,mbilverstone1x@irs.gov,Maryanna,"58 BELCOURT RD , TORONTO , ON",2016-12-10,Bilverstone,43.7055666,-79.3814174,45,1.0,716-416-4559,M4S2T9,ON
70,414 - 550 KINGSTON ROAD,1996-10-01,TORONTO,Canada,ctedridge1y@nydailynews.com,Catrina,"414 - 550 KINGSTON ROAD , TORONTO , ON",2016-12-23,Tedridge,,,550,9.0,330-778-3935,M4E3V6,ON
71,4 PARKVIEW AVE,1986-04-28,TORONTO,Canada,kblatherwick1z@yandex.ru,Kennith,"4 PARKVIEW AVE , TORONTO , ON",2015-01-27,Blatherwick,43.6698321571429,-79.3638591714286,916,1.0,409-574-8482,M4X1V9,ON
72,4 PARKVIEW AVE,1990-01-01,TORONTO,Canada,adunnaway20@foxnews.com,Antonella,"4 PARKVIEW AVE , TORONTO , ON",2017-12-12,Dunnaway,43.6698321571429,-79.3638591714286,677,3.0,901-882-4682,M4X1V9,ON
73,30 POUCHER ST,1987-02-16,TORONTO,Canada,daucoate21@behance.net,Del,"30 POUCHER ST , TORONTO , ON",2017-11-17,Aucoate,43.6705805538744,-79.340454328407,880,2.0,785-382-2623,M4J2Y9,ON
74,1105-1175 BROADVIEW AVE,,EAST YORK,,wryal22@lulu.com,Walker,"1105-1175 BROADVIEW AVE , EAST YORK , ON",2017-05-22,Ryal,,,40,,,M4K2S9,ON
75,1611-71 THORNCLIFFE PARK DR,1990-09-30,TORONTO,Canada,smundle23@paypal.com,Shanna,"1611-71 THORNCLIFFE PARK DR , TORONTO , ON",2016-09-03,Mundle,43.7053973,-79.3426076,156,6.0,702-869-3907,M4H1L3,ON
76,155 HAMPTON AVENUE,1987-09-06,TORONTO,Canada,mhabbin24@ox.ac.uk,Mathe,"155 HAMPTON AVENUE , TORONTO , ON",2016-05-15,Habbin,43.6765295705882,-79.3523004058824,494,3.0,510-509-7918,M4K2Z3,ON
77,155 HAMPTON AVENUE,1998-05-31,TORONTO,Canada,ldarnbrook25@oaic.gov.au,Lori,"155 HAMPTON AVENUE , TORONTO , ON",2017-10-09,Darnbrook,43.6765295705882,-79.3523004058824,539,4.0,754-503-8863,M4K2Z3,ON
78,49 GLEN ELM AVE APT 401,,TORONTO,,slozano26@comcast.net,Selig,"49 GLEN ELM AVE APT 401 , TORONTO , ON",2016-08-01,Lozano,,,396,,,M4T1V2,ON
79,506 HILLSDALE AVE E,,TORONTO,,jperkinson27@chicagotribune.com,Jenni,"506 HILLSDALE AVE E , TORONTO , ON",2015-06-11,Perkinson,43.7064875651163,-79.3828464906977,782,,,M4S1V2,ON
80,506 HILLSDALE AVE E,1977-04-17,TORONTO,Canada,rburgin28@prnewswire.com,Raquel,"506 HILLSDALE AVE E , TORONTO , ON",2015-01-11,Burgin,43.7064875651163,-79.3828464906977,756,7.0,859-923-4075,M4S1V2,ON
81,101 CHARLES STREET EAST UNIT 3408,1984-04-27,TORONTO,Canada,dmazzeo29@spiegel.de,Dinah,"101 CHARLES STREET EAST UNIT 3408 , TORONTO , ON",2017-01-02,Mazzeo,,,788,8.0,704-680-9900,M4Y0A9,ON
82,416-155 BALLIOL ST,,TORONTO,,cfishbourne2a@paypal.com,Clari,"416-155 BALLIOL ST , TORONTO , ON",2016-12-10,Fishbourne,,,485,,,M4S1C4,ON
83,26 CHATSWORTH DR,1997-06-25,TORONTO,Canada,lphilipeaux2b@bluehost.com,Lucille,"26 CHATSWORTH DR , TORONTO , ON",2015-06-22,Philipeaux,43.7221584189692,-79.4029273548709,481,4.0,713-866-9265,M4R1R5,ON
84,26 CHATSWORTH DR,1996-09-12,TORONTO,Canada,jgartland2c@dot.gov,Jamie,"26 CHATSWORTH DR , TORONTO , ON",2015-10-18,Gartland,43.7221584189692,-79.4029273548709,867,8.0,503-153-3051,M4R1R5,ON
85,1 CHERITAN AVE APT 116,1980-08-02,TORONTO,Canada,brebert2d@nifty.com,Beilul,"1 CHERITAN AVE APT 116 , TORONTO , ON",2017-03-18,Rebert,,,355,1.0,559-836-3793,M4R2C8,ON
86,1514 MOUNT PLEASANT RD,1979-03-13,TORONTO,Canada,smarnane2e@diigo.com,Sheff,"1514 MOUNT PLEASANT RD , TORONTO , ON",2015-06-20,Marnane,43.7265753006911,-79.3966733123497,159,5.0,203-776-8760,M4N2V2,ON
87,2 BIGGIN CRT APT 412,1979-07-06,NORTH YORK,Canada,lhatt2f@netlog.com,Leshia,"2 BIGGIN CRT APT 412 , NORTH YORK , ON",2015-02-12,Hatt,,,91,5.0,971-434-6807,M4A1M4,ON
88,42 LOGAN AVE,1999-08-21,TORONTO,Canada,abanaszkiewicz2g@telegraph.co.uk,Art,"42 LOGAN AVE , TORONTO , ON",2017-10-11,Banaszkiewicz,43.6558088,-79.3406545,369,4.0,972-467-5119,M4M2M8,ON
89,211 HOLBORNE AVE,,TORONTO,,rvaszoly2h@google.com.au,Ralph,"211 HOLBORNE AVE , TORONTO , ON",2015-11-23,Vaszoly,43.6954672363636,-79.3144328363636,774,,,M4C2S1,ON
90,2 WOODGREEN PLACE,1994-08-04,TORONTO,Canada,mjordison2i@google.com.br,Mariele,"2 WOODGREEN PLACE , TORONTO , ON",2015-07-16,Jordison,43.6590229,-79.346772,206,7.0,415-441-9359,M4M2J2,ON
91,2 WOODGREEN PL,,TORONTO,,ksoldi2j@usgs.gov,Katinka,"2 WOODGREEN PL , TORONTO , ON",2015-05-02,Soldi,43.6590229,-79.346772,200,,,M4M2J2,ON
92,375 BLEECKER ST APT 1202,1991-06-11,TORONTO,Canada,drustan2k@umn.edu,Donetta,"375 BLEECKER ST APT 1202 , TORONTO , ON",2016-06-27,Rustan,,,259,8.0,202-189-8697,M4X1M3,ON
93,1234 BROADVIEW AVE,1986-02-16,EAST YORK,Canada,sarchard2l@illinois.edu,Shirleen,"1234 BROADVIEW AVE , EAST YORK , ON",2017-03-18,Archard,43.6903538,-79.3553756,877,3.0,804-617-0134,M4K2T2,ON
94,1234 BROADVIEW AVE,1980-10-24,TORONTO,Canada,amackissack2m@lulu.com,Anstice,"1234 BROADVIEW AVE , TORONTO , ON",2016-01-18,MacKissack,43.6903538,-79.3553756,955,2.0,404-472-6119,M4K2T2,ON
95,107 BOARDWALK DR,1979-03-23,TORONTO,Canada,egilbride2n@twitter.com,Egan,"107 BOARDWALK DR , TORONTO , ON",2016-08-03,Gilbride,43.6658010429872,-79.3058575428921,331,7.0,214-552-5349,M4L3X9,ON
96,APT 203 387 SHERBOURNE STREET,1993-01-29,TORONTO,Canada,idowney2o@ameblo.jp,Isidora,"APT 203 387 SHERBOURNE STREET , TORONTO , ON",2017-02-25,Downey,,,224,2.0,301-219-7989,M4X1K4,ON
97,490 SUTHERLAND DR,1980-05-15,EAST YORK,Canada,phughes2p@odnoklassniki.ru,Perry,"490 SUTHERLAND DR , EAST YORK , ON",2017-06-14,Hughes,43.7169909470588,-79.3689110941176,668,9.0,626-930-8679,M4G1K8,ON
98,444 MILLWOOD RD,1992-01-23,TORONTO,Canada,fjozef2q@smh.com.au,Frederic,"444 MILLWOOD RD , TORONTO , ON",2017-12-11,Jozef,43.7026521391304,-79.3830048173913,765,7.0,626-601-3747,M4S1K2,ON
99,636 DANFORTH AVE APT 4,1994-05-10,TORONTO,Canada,eegger2r@nhs.uk,Elton,"636 DANFORTH AVE APT 4 , TORONTO , ON",2017-12-27,Egger,,,126,3.0,360-343-4171,M4K1R3,ON
100,64 LONSDALE RD,1998-04-27,TORONTO,Canada,ckillbey2s@smugmug.com,Cleveland,"64 LONSDALE RD , TORONTO , ON",2015-04-24,Killbey,43.69154065625,-79.39957665625,648,7.0,315-790-5944,M4V1W5,ON
101,31 WEST LAKE CRESC,1983-02-02,EAST YORK,Canada,aconti2t@sciencedaily.com,Allianora,"31 WEST LAKE CRESC , EAST YORK , ON",2015-07-08,Conti,,,532,5.0,727-146-1987,M4C2X3,ON
102,416-390 DAWES RD,1985-05-07,EAST YORK,Canada,rrosensaft2u@slideshare.net,Rafaello,"416-390 DAWES RD , EAST YORK , ON",2016-11-20,Rosensaft,,,707,4.0,805-322-2745,M4B2E5,ON
103,183 GOWAN AVE,1998-05-11,TORONTO,Canada,fdeverille2v@ca.gov,Franklyn,"183 GOWAN AVE , TORONTO , ON",2016-08-05,Deverille,43.6884319505246,-79.3480869459435,863,4.0,217-118-3601,M4J2K7,ON
104,34 STANDISH AVE,1993-04-28,TORONTO,Canada,mthreadgould2w@typepad.com,Micheline,"34 STANDISH AVE , TORONTO , ON",2017-12-03,Threadgould,43.68816542598,-79.3707634678318,92,4.0,701-392-6407,M4W3B1,ON
105,432 LUMSDEN AVE,1987-09-15,EAST YORK,Canada,jyurchenko2x@biglobe.ne.jp,Jory,"432 LUMSDEN AVE , EAST YORK , ON",2015-11-06,Yurchenko,43.6957142,-79.3028061,697,10.0,806-957-7950,M4C2L8,ON
106,2005-240 WELLESLEY ST E,1983-06-06,TORONTO,Canada,aperle2y@timesonline.co.uk,Abbott,"2005-240 WELLESLEY ST E , TORONTO , ON",2016-11-07,Perle,,,121,8.0,202-337-1688,M4X1G5,ON
107,23-69 HOLLY ST,1991-04-13,TORONTO,Canada,jbirdis2z@samsung.com,Jessie,"23-69 HOLLY ST , TORONTO , ON",2017-04-07,Birdis,43.7060148,-79.3963729,922,4.0,301-497-5611,M4S3A5,ON
108,24 KELVIN AVE,1982-12-18,TORONTO,Canada,knevison30@google.ca,Kimmy,"24 KELVIN AVE , TORONTO , ON",2015-11-03,Nevison,43.6887910478261,-79.294676373913,487,8.0,717-139-2954,M4C5C8,ON
109,80 WOODLAWN AVE W,,TORONTO,,bfreddi31@abc.net.au,Bendick,"80 WOODLAWN AVE W , TORONTO , ON",2017-07-20,Freddi,43.68321412,-79.396337505,924,,,M4V1G7,ON
110,80 WOODLAWN AVE W,1998-09-05,TORONTO,Canada,zopdenort32@aboutads.info,Zahara,"80 WOODLAWN AVE W , TORONTO , ON",2016-05-07,Opdenort,43.68321412,-79.396337505,628,9.0,916-910-6186,M4V1G7,ON
111,51 SILVER BIRCH AVENUE,1987-04-26,TORONTO,Canada,tvooght33@nhs.uk,Terrance,"51 SILVER BIRCH AVENUE , TORONTO , ON",2017-09-10,Vooght,43.6719032846154,-79.2845839692308,37,4.0,713-388-2538,M4E3L1,ON
112,80 WELLESLEY STREET EAST 102,1994-07-25,TORONTO,Canada,jjurkiewicz34@foxnews.com,Jemmy,"80 WELLESLEY STREET EAST 102 , TORONTO , ON",2016-07-27,Jurkiewicz,43.66612865,-79.3802212556552,193,2.0,310-616-7325,M4Y1H3,ON
113,20 COSBURN AVE APT 303,,EAST YORK,,vchappelle35@creativecommons.org,Valma,"20 COSBURN AVE APT 303 , EAST YORK , ON",2017-05-21,Chappelle,,,329,,,M4K2E7,ON
