address_line,birth_date,city,country,email,first_name,join_date,last_name,latitude,longitude,member_id,membership_length,phone_number,postal_code,state
47 BLACKTHORN AVE,12/14/92,NORTH YORK,Canada,starro@craigslist.org,Sharai,4/21/15,Tarr,43.6758108,-79.4585094,434,1,617-360-3146,M4N3H5,ON
200 WELLESLEY ST E  APT 316,3/14/86,TORONTO,Canada,hgoldthorpep@java.com,Hamil,6/11/17,Goldthorpe,43.668195,-79.3737707,184,6,213-629-6737,M4X1G3,ON
118 BALLIOL STREET APT UPH 3,8/23/92,TORONTO,Canada,jhodintonq@addthis.com,Jocelyn,2/19/17,Hodinton,43.698385,-79.392736,862,6,407-606-6955,M4S0A9,ON
2-38 EARL ST,1/3/98,TORONTO,Canada,branklinr@thetimes.co.uk,Bud,9/18/15,Ranklin,43.668356,-79.377572,11,2,559-807-3145,M4Y1M3,ON
209-4GRANDSTAND PLACE,11/16/77,TORONTO,Canada,bcarniers@samsung.com,Belva,10/12/16,Carnier,43.7040519,-79.3456419,35,8,205-473-0969,M4H1E3,ON
209-4 GRANDSTAND PL,1/3/89,TORONTO,Canada,fkeffordt@weather.com,Fair,7/27/16,Kefford,43.7036252,-79.3459853,444,8,510-481-4943,M4H1E3,ON
63 RUSHBOOKE AVE,4/22/99,TORONTO,Canada,rpellissieru@altervista.org,Rosanne,7/16/15,Pellissier,43.6616774,-79.331647,349,4,304-978-2786,M4M3A8,ON
122 HOLLYWOOD CRES,10/15/84,TORONTO,Canada,pcavellv@linkedin.com,Paton,1/2/15,Cavell,43.6796429,-79.3144966,444,9,507-882-8451,M4L2K6,ON
9 ELMONT DR,5/9/95,EAST YORK,Canada,atoffaniniw@amazon.co.uk,Ahmad,1/18/16,Toffanini,43.69947149,-79.30293734,718,2,504-197-2335,M4B2L9,ON
1131 O'CONNOR DR,10/30/97,EAST YORK,Canada,idagwellx@opensource.org,Ilyse,4/24/15,Dagwell,43.7114167,-79.30802425,588,9,304-905-5489,M4B2T5,ON
65 WINNIFRED AVE,2/11/88,TORONTO,Canada,vmarchmenty@boston.com,Valle,11/19/16,Marchment,43.6610903,-79.3357966,849,3,816-676-4789,M4M2X2,ON
214-71 THORNCLIFFE PARK DR,7/4/78,EAST YORK,Canada,cduesburyz@cmu.edu,Christina,5/11/16,Duesbury,43.7053973,-79.3426076,919,8,801-195-4740,M4H1L3,ON
242 MUNRO ST,9/5/96,TORONTO,Canada,lblackater10@bravesites.com,Louie,6/23/17,Blackater,43.6648451,-79.354367,153,2,773-502-9340,M4M2C2,ON
200 BALLIOL STREET 503,9/7/80,TORONTO,Canada,hstoven11@cyberchimps.com,Henry,7/8/16,Stoven,43.6992073,-79.39008384,753,4,415-500-9319,M4S1C6,ON
3709-45 CHARLES ST E,2/1/98,TORONTO,Canada,jbouzek12@amazonaws.com,Jermain,11/2/16,Bouzek,43.6687756,-79.3839965,668,4,310-380-4755,M4Y0B8,ON
44 THORNECLIFF PARK DR APT 215,12/1/78,EAST YORK,Canada,cingerith13@creativecommons.org,Ciel,11/6/15,Ingerith,43.7025947,-79.3430885,657,6,915-826-4672,M4H1K2,ON
1632 BAYVIEW AVE THIRD FLOOR,11/12/94,TORONTO,Canada,bmethingam14@japanpost.jp,Baillie,2/12/15,Methingam,,,342,1,626-910-1355,M4G3B7,ON
251 COLERIDGE AVE,9/19/78,EAST YORK,Canada,cespy15@ning.com,Colman,4/15/16,Espy,43.6936257,-79.3149653,707,1,832-517-3067,M4C4J2,ON
68 LAWRENCE AVE E,11/20/95,TORONTO,Canada,tbenazet16@sfgate.com,Toma,7/24/15,Benazet,43.72607121,-79.39831599,75,3,832-310-1449,M4N1S4,ON
123 EGLINTON AVE EAST PH 3,8/2/93,TORONTO,Canada,kdenny17@youku.com,Kenneth,2/19/15,Denny,43.7074846,-79.3932763,876,10,540-428-9157,M4P1J2,ON
1501-99 HOWARD ST,6/9/91,TORONTO,Canada,mbernardt18@oracle.com,Meagan,4/11/17,Bernardt,43.6712251,-79.3711599,476,1,505-749-6279,M4X1K1,ON
55 MAITLAND ST UNIT 911,8/21/95,TORONTO,Canada,bbimson19@shinystat.com,Berny,2/14/17,Bimson,43.6641203,-79.3815912,40,9,916-703-2503,M4Y1C9,ON
382 SHERBOURNE ST,9/16/94,TORONTO,Canada,eschimonek1a@wikispaces.com,Ericka,7/23/17,Schimonek,43.66337469,-79.37325859,73,4,254-339-0822,M4X1K2,ON
817-1720 EGLINTON AVE E,7/11/78,TORONTO,Canada,mharcase1b@tripod.com,Merrick,11/1/15,Harcase,43.726112,-79.3109039,732,7,510-271-2808,M4A2X8,ON
12 LARKSONG CRT,12/6/78,NORTH YORK,Canada,mwroth1c@microsoft.com,Mitch,5/22/15,Wroth,43.7281528,-79.31521971,905,6,202-189-5077,M4A2T6,ON
2129A GERRARD ST E,4/9/96,TORONTO,Canada,seland1d@photobucket.com,Starlin,5/27/16,Eland,43.68288602,-79.30440377,528,2,505-263-1343,M4E2C1,ON
5 BIGGIN CRT 411,,TORONTO,,cjolliff1e@wikia.com,Craig,11/24/16,Jolliff,43.7279032,-79.30680671,887,,,M4A1M2,ON
85 THORNCLIFFE PARK DR #1615,4/13/87,EAST YORK,Canada,hjesteco1f@topsy.com,Hilliary,1/27/15,Jesteco,43.7071721,-79.34126338,796,6,512-968-4602,M4H1L6,ON
55 ST HUBERT AVE,4/6/91,TORONTO,Canada,mbarsham1g@amazonaws.com,Milka,9/26/16,Barsham,43.69268227,-79.33892768,931,6,251-288-8882,M4J3Z2,ON
55 ST HUBERT AVE,10/1/98,TORONTO,Canada,erylatt1h@walmart.com,Ephrayim,12/14/16,Rylatt,43.69268227,-79.33892768,966,8,719-589-7887,M4J3Z2,ON
39 QUEEN VICTORIA ST,2/6/81,TORONTO,Canada,amotion1i@youtu.be,Ambrose,2/7/16,Motion,43.6771358,-79.3345436,75,4,617-550-0662,M4J1G1,ON
47 WANLESS AVE,8/24/86,TORONTO,Canada,eokeeffe1j@purevolume.com,Elise,3/8/15,O'Keeffe,43.72673966,-79.40084988,580,10,512-721-2909,M4N1V5,ON
82 GLENSIDE AVE,12/8/92,TORONTO,Canada,clongina1k@geocities.jp,Christan,5/20/15,Longina,43.6741975,-79.32722721,569,8,706-269-4647,M4L2T5,ON
135 DONLANDS AVE,8/5/79,TORONTO,Canada,meede1l@washington.edu,Muhammad,3/13/15,Eede,43.68465592,-79.338856,143,1,559-784-5391,M4J3P3,ON
68 HILLSIDE DR 405,2/1/87,TORONTO,Canada,cpalfreeman1m@hatena.ne.jp,Cate,8/28/15,Palfreeman,43.6900604,-79.3567028,353,3,501-200-6013,M4K2M4,ON
68 HILLSIDE DR 405,7/29/85,TORONTO,Canada,nduckhouse1n@google.co.jp,Nehemiah,1/20/15,Duckhouse,43.6900604,-79.3567028,924,6,619-595-4397,M4K2M4,ON
779 O'CONNOR DR,12/20/91,EAST YORK,Canada,lwolpert1o@naver.com,Lucius,12/8/15,Wolpert,43.7044057,-79.3134818,46,4,212-273-1092,M4B2S5,ON
6000-3080 YONGE ST,1/20/82,TORONTO,Canada,mliddell1p@chron.com,Marylou,3/18/15,Liddell,43.7255889,-79.4027128,637,8,213-988-7429,M4N3N1,ON
1-1565 BAYVIEW AVE,2/18/83,TORONTO,Canada,tsandwith1q@constantcontact.com,Tania,3/22/16,Sandwith,43.7056128,-79.3749269,149,6,214-176-7571,M4G3B5,ON
715-95 THORNCLIFFE PARK DR,10/27/88,EAST YORK,Canada,cchennells1r@earthlink.net,Cindra,5/16/16,Chennells,43.7077887,-79.3404903,333,5,408-480-2407,M4H1L7,ON
715-95 THORNCLIFFE PARK DR,,EAST YORK,,dbrain1s@moonfruit.com,Daveta,4/9/16,Brain,43.7077887,-79.3404903,120,,,M4H1L7,ON
1-989 MOUNT PLEASANT RD,9/13/93,TORONTO,Canada,urabjohns1t@toplist.cz,Ursala,3/21/17,Rabjohns,43.7136809,-79.3919854,946,1,305-122-2100,M4P2L8,ON
2806-545 SHERBOURNE ST,8/24/91,TORONTO,Canada,qcastilljo1u@tumblr.com,Quint,5/17/17,Castilljo,43.6684775,-79.3748369,303,3,910-175-3017,M4X1W5,ON
53 ACACIA ROAD,,TORONTO,,lbutlerbowdon1v@mac.com,Lyndsay,4/6/17,Butler-Bowdon,43.701953,-79.390093,505,,,M4S2K6,ON
58 BELCOURT RD,2/3/97,TORONTO,Canada,lturfes1w@bigcartel.com,Lorain,4/6/15,Turfes,43.7055666,-79.3814174,466,9,559-429-1436,M4S2T9,ON
58 BELCOURT RD,1/13/98,TORONTO,Canada,mbilverstone1x@irs.gov,Maryanna,12/10/16,Bilverstone,43.7055666,-79.3814174,45,1,716-416-4559,M4S2T9,ON
414 - 550 KINGSTON ROAD,10/1/96,TORONTO,Canada,ctedridge1y@nydailynews.com,Catrina,12/23/16,Tedridge,43.6783881,-79.30136,550,9,330-778-3935,M4E3V6,ON
4 PARKVIEW AVE,4/28/86,TORONTO,Canada,kblatherwick1z@yandex.ru,Kennith,1/27/15,Blatherwick,43.66983216,-79.36385917,916,1,409-574-8482,M4X1V9,ON
4 PARKVIEW AVE,1/1/90,TORONTO,Canada,adunnaway20@foxnews.com,Antonella,12/12/17,Dunnaway,43.66983216,-79.36385917,677,3,901-882-4682,M4X1V9,ON
30 POUCHER ST,2/16/87,TORONTO,Canada,daucoate21@behance.net,Del,11/17/17,Aucoate,43.67058055,-79.34045433,880,2,785-382-2623,M4J2Y9,ON
1105-1175 BROADVIEW AVE,,EAST YORK,,wryal22@lulu.com,Walker,5/22/17,Ryal,43.6890286,-79.3544916,40,,,M4K2S9,ON
1611-71 THORNCLIFFE PARK DR,9/30/90,TORONTO,Canada,smundle23@paypal.com,Shanna,9/3/16,Mundle,43.7053973,-79.3426076,156,6,702-869-3907,M4H1L3,ON
155 HAMPTON AVENUE,9/6/87,TORONTO,Canada,mhabbin24@ox.ac.uk,Mathe,5/15/16,Habbin,43.67652957,-79.35230041,494,3,510-509-7918,M4K2Z3,ON
155 HAMPTON AVENUE,5/31/98,TORONTO,Canada,ldarnbrook25@oaic.gov.au,Lori,10/9/17,Darnbrook,43.67652957,-79.35230041,539,4,754-503-8863,M4K2Z3,ON
49 GLEN ELM AVE APT 401,,TORONTO,,slozano26@comcast.net,Selig,8/1/16,Lozano,43.6915781,-79.3927976,396,,,M4T1V2,ON
506 HILLSDALE AVE E,,TORONTO,,jperkinson27@chicagotribune.com,Jenni,6/11/15,Perkinson,43.70648757,-79.38284649,782,,,M4S1V2,ON
506 HILLSDALE AVE E,4/17/77,TORONTO,Canada,rburgin28@prnewswire.com,Raquel,1/11/15,Burgin,43.70648757,-79.38284649,756,7,859-923-4075,M4S1V2,ON
101 CHARLES STREET EAST UNIT 3408,4/27/84,TORONTO,Canada,dmazzeo29@spiegel.de,Dinah,1/2/17,Mazzeo,43.6695928,-79.3805797,788,8,704-680-9900,M4Y0A9,ON
416-155 BALLIOL ST,,TORONTO,,cfishbourne2a@paypal.com,Clari,12/10/16,Fishbourne,43.6979364,-79.3921048,485,,,M4S1C4,ON
26 CHATSWORTH DR,6/25/97,TORONTO,Canada,lphilipeaux2b@bluehost.com,Lucille,6/22/15,Philipeaux,43.72215842,-79.40292735,481,4,713-866-9265,M4R1R5,ON
26 CHATSWORTH DR,9/12/96,TORONTO,Canada,jgartland2c@dot.gov,Jamie,10/18/15,Gartland,43.72215842,-79.40292735,867,8,503-153-3051,M4R1R5,ON
1 CHERITAN AVE APT 116,8/2/80,TORONTO,Canada,brebert2d@nifty.com,Beilul,3/18/17,Rebert,43.7229204,-79.402203,355,1,559-836-3793,M4R2C8,ON
1514 MOUNT PLEASANT RD,3/13/79,TORONTO,Canada,smarnane2e@diigo.com,Sheff,6/20/15,Marnane,43.7265753,-79.39667331,159,5,203-776-8760,M4N2V2,ON
2 BIGGIN CRT APT 412,7/6/79,NORTH YORK,Canada,lhatt2f@netlog.com,Leshia,2/12/15,Hatt,43.7289109,-79.3051359,91,5,971-434-6807,M4A1M4,ON
42 LOGAN AVE,8/21/99,TORONTO,Canada,abanaszkiewicz2g@telegraph.co.uk,Art,10/11/17,Banaszkiewicz,43.6558088,-79.3406545,369,4,972-467-5119,M4M2M8,ON
211 HOLBORNE AVE,,TORONTO,,rvaszoly2h@google.com.au,Ralph,11/23/15,Vaszoly,43.69546724,-79.31443284,774,,,M4C2S1,ON
2 WOODGREEN PLACE,8/4/94,TORONTO,Canada,mjordison2i@google.com.br,Mariele,7/16/15,Jordison,43.6590229,-79.346772,206,7,415-441-9359,M4M2J2,ON
2 WOODGREEN PL,,TORONTO,,ksoldi2j@usgs.gov,Katinka,5/2/15,Soldi,43.6590229,-79.346772,200,,,M4M2J2,ON
375 BLEECKER ST APT 1202,6/11/91,TORONTO,Canada,drustan2k@umn.edu,Donetta,6/27/16,Rustan,43.6705469,-79.3748566,259,8,202-189-8697,M4X1M3,ON
1234 BROADVIEW AVE,2/16/86,EAST YORK,Canada,sarchard2l@illinois.edu,Shirleen,3/18/17,Archard,43.6903538,-79.3553756,877,3,804-617-0134,M4K2T2,ON
1234 BROADVIEW AVE,10/24/80,TORONTO,Canada,amackissack2m@lulu.com,Anstice,1/18/16,MacKissack,43.6903538,-79.3553756,955,2,404-472-6119,M4K2T2,ON
107 BOARDWALK DR,3/23/79,TORONTO,Canada,egilbride2n@twitter.com,Egan,8/3/16,Gilbride,43.66580104,-79.30585754,331,7,214-552-5349,M4L3X9,ON
APT 203 387 SHERBOURNE STREET,1/29/93,TORONTO,Canada,idowney2o@ameblo.jp,Isidora,2/25/17,Downey,43.6640958,-79.3732769,224,2,301-219-7989,M4X1K4,ON
490 SUTHERLAND DR,5/15/80,EAST YORK,Canada,phughes2p@odnoklassniki.ru,Perry,6/14/17,Hughes,43.71699095,-79.36891109,668,9,626-930-8679,M4G1K8,ON
444 MILLWOOD RD,1/23/92,TORONTO,Canada,fjozef2q@smh.com.au,Frederic,12/11/17,Jozef,43.70265214,-79.38300482,765,7,626-601-3747,M4S1K2,ON
636 DANFORTH AVE APT 4,5/10/94,TORONTO,Canada,eegger2r@nhs.uk,Elton,12/27/17,Egger,43.6791247,-79.3455431,126,3,360-343-4171,M4K1R3,ON
64 LONSDALE RD,4/27/98,TORONTO,Canada,ckillbey2s@smugmug.com,Cleveland,4/24/15,Killbey,43.69154066,-79.39957666,648,7,315-790-5944,M4V1W5,ON
31 WEST LAKE CRESC,2/2/83,EAST YORK,Canada,aconti2t@sciencedaily.com,Allianora,7/8/15,Conti,43.6979372,-79.308949,532,5,727-146-1987,M4C2X3,ON
416-390 DAWES RD,5/7/85,EAST YORK,Canada,rrosensaft2u@slideshare.net,Rafaello,11/20/16,Rosensaft,43.699856,-79.2972215,707,4,805-322-2745,M4B2E5,ON
183 GOWAN AVE,5/11/98,TORONTO,Canada,fdeverille2v@ca.gov,Franklyn,8/5/16,Deverille,43.68843195,-79.34808695,863,4,217-118-3601,M4J2K7,ON
34 STANDISH AVE,4/28/93,TORONTO,Canada,mthreadgould2w@typepad.com,Micheline,12/3/17,Threadgould,43.68816543,-79.37076347,92,4,701-392-6407,M4W3B1,ON
432 LUMSDEN AVE,9/15/87,EAST YORK,Canada,jyurchenko2x@biglobe.ne.jp,Jory,11/6/15,Yurchenko,43.6957142,-79.3028061,697,10,806-957-7950,M4C2L8,ON
2005-240 WELLESLEY ST E,6/6/83,TORONTO,Canada,aperle2y@timesonline.co.uk,Abbott,11/7/16,Perle,43.6681993,-79.3717796,121,8,202-337-1688,M4X1G5,ON
23-69 HOLLY ST,4/13/91,TORONTO,Canada,jbirdis2z@samsung.com,Jessie,4/7/17,Birdis,43.7060148,-79.3963729,922,4,301-497-5611,M4S3A5,ON
24 KELVIN AVE,12/18/82,TORONTO,Canada,knevison30@google.ca,Kimmy,11/3/15,Nevison,43.68879105,-79.29467637,487,8,717-139-2954,M4C5C8,ON
80 WOODLAWN AVE W,,TORONTO,,bfreddi31@abc.net.au,Bendick,7/20/17,Freddi,43.68321412,-79.39633751,924,,,M4V1G7,ON
80 WOODLAWN AVE W,9/5/98,TORONTO,Canada,zopdenort32@aboutads.info,Zahara,5/7/16,Opdenort,43.68321412,-79.39633751,628,9,916-910-6186,M4V1G7,ON
51 SILVER BIRCH AVENUE,4/26/87,TORONTO,Canada,tvooght33@nhs.uk,Terrance,9/10/17,Vooght,43.67190328,-79.28458397,37,4,713-388-2538,M4E3L1,ON
80 WELLESLEY STREET EAST 102,7/25/94,TORONTO,Canada,jjurkiewicz34@foxnews.com,Jemmy,7/27/16,Jurkiewicz,43.66612865,-79.38022126,193,2,310-616-7325,M4Y1H3,ON
20 COSBURN AVE APT 303,,EAST YORK,,vchappelle35@creativecommons.org,Valma,5/21/17,Chappelle,43.6885371,-79.3539842,329,,,M4K2E7,ON
135 BOOTH AVE,11/30/91,TORONTO,Canada,ntesh36@senate.gov,Noam,11/23/17,Tesh,43.65815847,-79.34257591,834,7,917-879-6780,M4M2M5,ON
56 CHERITAN AVE,3/12/81,TORONTO,Canada,bmcmeekan37@vk.com,Bob,12/4/16,McMeekan,43.72271897,-79.40550373,825,5,818-343-1599,M4R1S6,ON
56 CHERITAN AVE,9/29/78,TORONTO,Canada,smorat38@pen.io,Shurlock,3/13/15,Morat,43.72271897,-79.40550373,997,10,801-113-0296,M4R1S6,ON
1213-100 WELLESLEY ST E ENTRY CODE 736,8/19/77,TORONTO,Canada,dskirving39@economist.com,Dario,11/23/17,Skirving,,,920,9,706-106-3504,M4Y1H5,ON
77 MAITLAND PLACE SUITE 1002,8/31/85,TORONTO,Canada,hareles3a@shareasale.com,Harli,1/4/17,Areles,43.6651058,-79.3769009,108,6,404-254-8708,M4Y2V6,ON
245 CARLAW AVE UNIT 501B,,TORONTO,,trichardet3b@blinklist.com,Tammie,1/5/15,Richardet,43.6637058,-79.3405157,586,,,M4M2S1,ON
1082-1082 VICTORIA PARK AVE,11/24/90,EAST YORK,Canada,jlongthorn3c@lulu.com,Jordon,7/2/17,Longthorn,43.7071226,-79.2959112,768,6,904-761-3636,M4B2K3,ON
508 DAWES ROAD APT 216,7/24/85,TORONTO,Canada,dpace3d@indiatimes.com,Debra,9/12/16,Pace,43.7040299,-79.2983984,580,3,210-576-7423,M4B2G3,ON
2810-120 HOMEWOOD AVE,10/25/85,TORONTO,Canada,pching3e@ocn.ne.jp,Pippa,1/12/16,Ching,43.6669634,-79.3761188,88,2,214-569-0764,M4Y2J3,ON
565 SHERBOURNE STREET APT 2320,2/2/81,TORONTO,Canada,sblackater3f@flickr.com,Sylas,1/5/17,Blackater,43.6701884,-79.3756451,599,7,832-360-8761,M4X1W7,ON
254 AIRDRIE RD,2/6/88,EAST YORK,Canada,clinke3g@woothemes.com,Cecil,5/22/15,Linke,43.7068689,-79.3661774,467,5,215-383-5019,M4G1N1,ON
307-11 COATSWORTH CRES,12/17/93,TORONTO,Canada,kstenbridge3h@engadget.com,Kimberli,5/16/16,Stenbridge,43.6793324,-79.3209528,410,4,409-401-6827,M4C5P8,ON
1075 VICTORIA PARK AVE SUITE 202,8/14/94,TORONTO,Canada,dbarth3i@mozilla.com,Danita,10/10/15,Barth,43.7075658,-79.2951571,823,7,706-279-5384,M4B2K2,ON
347 CLEAVELAND ST,9/2/88,TORONTO,Canada,tninnoli3j@washingtonpost.com,Trip,11/26/16,Ninnoli,43.7089639,-79.3801662,190,5,217-731-4166,M4S2X1,ON
308-150 COSBURN AVE,11/11/90,EAST YORK,Canada,djarry3k@umn.edu,Dukie,6/17/16,Jarry,43.6902174,-79.3461809,514,9,850-176-3156,M4J2L9,ON
28 TED ROGERS WAY #1204,12/13/80,TORONTO,Canada,sswinden3l@devhub.com,Sinclair,5/26/16,Swinden,43.6705748,-79.3805902,557,2,703-415-2164,M4Y2J4,ON
539 JARVIS ST PH4 4,5/2/91,TORONTO,Canada,irozzier3m@geocities.jp,Idelle,12/24/16,Rozzier,,,114,9,520-701-6778,M4Y2H7,ON
88 BLOOR ST E 1501,6/13/97,TORONTO,Canada,gjagger3n@ed.gov,Gaile,1/11/17,Jagger,43.6723255,-79.3769821,302,3,724-805-7633,M4W3G9,ON
1848 LAKE SHORE BLVD E,10/13/95,TORONTO,Canada,pgilmour3o@house.gov,Parrnell,6/26/17,Gilmour,43.66560315,-79.30515019,903,3,831-521-0026,M4L6S8,ON
1-29 BOULTON AVE,6/27/96,TORONTO,Canada,ghaquin3p@geocities.com,Garnette,12/11/16,Haquin,43.6617083,-79.3475969,294,8,339-147-3428,M4M2J4,ON
250 WOODBINE AVE,11/8/77,TORONTO,Canada,oburgot3q@hibu.com,Oby,9/5/16,Burgot,43.67013664,-79.30653219,83,10,256-732-8153,M4L3P2,ON
5 THORNCLIFFE AVE,3/28/79,TORONTO,Canada,tdike3r@ihg.com,Tatiana,11/1/15,Dike,43.6804298,-79.35953093,375,6,831-919-1450,M4K1V4,ON
5 THORNCLIFFE AVE,3/2/94,TORONTO,Canada,nambrogelli3s@ftc.gov,Neale,8/19/16,Ambrogelli,43.6804298,-79.35953093,395,6,701-515-8396,M4K1V4,ON
57 HUNTLEY ST,7/10/97,TORONTO,Canada,ohallgarth3t@multiply.com,Orton,7/1/16,Hallgarth,43.67065678,-79.37861767,113,6,775-884-6169,M4Y2L2,ON
57 HUNTLEY ST,9/26/92,TORONTO,Canada,zcapey3u@cnbc.com,Zackariah,11/26/16,Capey,43.67065678,-79.37861767,976,7,518-880-6015,M4Y2L2,ON
3204-110 CHARLES ST E,3/13/85,TORONTO,Canada,gvanyard3v@tripadvisor.com,Georgianne,12/26/17,Vanyard,43.6701589,-79.3803887,984,7,859-744-3373,M4Y1T5,ON
412-70 ALEXANDER ST,11/18/87,TORONTO,Canada,omeldrum3w@ustream.tv,Osmund,9/5/15,Meldrum,43.6186475,-79.4887606,746,8,213-156-5036,M4Y3B6,ON
2307-7 JACKES AVE,3/20/94,TORONTO,Canada,rlightbown3x@huffingtonpost.com,Romola,11/1/17,Lightbown,43.6853305,-79.3914537,303,1,213-969-7782,M4T1E3,ON
1111-10 DELISLE AVE,1/26/95,TORONTO,Canada,hgambell3y@usgs.gov,Hermon,8/1/15,Gambell,43.6891077,-79.3947067,474,2,202-592-4764,M4V3C6,ON
1007-6 PARK VISTA,4/7/99,TORONTO,Canada,tbennell3z@a8.net,Tamma,4/18/17,Bennell,43.6978366,-79.2986093,1000,4,713-487-5283,M4B1A2,ON
88 REDPATH AVE 912,2/2/90,TORONTO,Canada,ldeverson40@wikimedia.org,Lowrance,2/19/16,de Verson,43.70615465,-79.39262248,684,8,786-726-4488,M4S2J8,ON
88 REDPATH AVE 912,11/7/86,TORONTO,Canada,bnavarre41@thetimes.co.uk,Bette,12/15/17,Navarre,43.70615465,-79.39262248,300,5,585-796-7823,M4S2J8,ON
206-630 QUEEN ST E,1/7/89,TORONTO,Canada,dluno42@surveymonkey.com,Dicky,4/2/17,Luno,43.658451,-79.3527222,661,9,817-343-6007,M4M1G3,ON
2505-565 SHERBOURNE ST,5/25/83,TORONTO,Canada,kpersence43@eventbrite.com,Keeley,1/6/16,Persence,43.6701773,-79.3756491,853,3,860-157-5600,M4X1W7,ON
